Make,Brand,Country,Sports,SUV,Wagon,Minivan,Pickup,AWD,RWD,Retail,HighwayMPG,Dealer,Engine,Cylinders,Horsepower,CityMPG,Weight,Wheelbase,Length,Width
Land Rover Discovery SE,Land,EU,0,1,0,0,0,1,0,39250,16,35777,4.6,8,217,12,4576,100,185,74
Land Rover Freelander SE,Land,EU,0,1,0,0,0,1,0,25995,21,23969,2.5,6,174,18,3577,101,175,71
Land Rover Range Rover HSE,Land,EU,0,1,0,0,0,1,0,72250,16,65807,4.4,8,282,12,5379,113,195,76
Lexus ES 330,Lexus,Japan,0,0,0,0,0,0,0,32350,29,28755,3.3,6,225,20,3460,107,191,71
Lexus GS 300,Lexus,Japan,0,0,0,0,0,0,1,41010,25,36196,3,6,220,18,3649,110,189,71
Lexus GS 430,Lexus,Japan,0,0,0,0,0,0,1,48450,23,42232,4.3,8,300,18,3715,110,189,71
Lexus GX 470,Lexus,Japan,0,1,0,0,0,1,0,45700,19,39838,4.7,8,235,15,4740,110,188,74
Lexus IS 300 manual,Lexus,Japan,0,0,0,0,0,0,1,31045,25,27404,3,6,215,18,3255,105,177,68
Lexus IS 300 auto,Lexus,Japan,0,0,0,0,0,0,1,32415,24,28611,3,6,215,18,3285,105,177,68
Lexus IS 300 SportCross,Lexus,Japan,0,0,1,0,0,0,1,32455,24,28647,3,6,215,18,3410,105,177,68
Lexus LS 430,Lexus,Japan,0,0,0,0,0,0,1,55750,25,48583,4.3,8,290,18,3990,115,197,72
Lexus LX 470,Lexus,Japan,0,1,0,0,0,1,0,64800,17,56455,4.7,8,235,13,5590,112,193,76
Lexus SC 430,Lexus,Japan,1,0,0,0,0,0,1,63200,23,55063,4.3,8,300,18,3840,103,178,72
Lexus RX 330,Lexus,Japan,0,1,0,0,0,1,0,39195,24,34576,3.3,6,230,18,4065,107,186,73
Lincoln Aviator Ultimate,Lincoln,US,0,1,0,0,0,0,0,42915,18,39443,4.6,8,302,13,4834,114,193,76
Lincoln LS V6 Luxury,Lincoln,US,0,0,0,0,0,0,1,32495,26,29969,3,6,232,20,3681,115,194,73
Lincoln LS V6 Premium,Lincoln,US,0,0,0,0,0,0,1,36895,26,33929,3,6,232,20,3681,115,194,73
Lincoln LS V8 Sport,Lincoln,US,0,0,0,0,0,0,1,40095,24,36809,3.9,8,280,17,3768,115,194,73
Lincoln LS V8 Ultimate,Lincoln,US,0,0,0,0,0,0,1,43495,24,39869,3.9,8,280,17,3768,115,194,73
Lincoln Navigator Luxury,Lincoln,US,0,1,0,0,0,1,0,52775,18,46360,5.4,8,300,13,5969,119,206,80
Lincoln Town Car Signature,Lincoln,US,0,0,0,0,0,0,1,41815,25,38418,4.6,8,239,17,4369,118,215,78
Lincoln Town Car Ultimate,Lincoln,US,0,0,0,0,0,0,1,44925,25,41217,4.6,8,239,17,4369,118,215,78
Lincoln Town Car Ultimate L,Lincoln,US,0,0,0,0,0,0,1,50470,25,46208,4.6,8,239,17,4474,124,221,78
Mazda6 i,Mazda,Japan,0,0,0,0,0,0,0,19270,32,17817,2.3,4,160,24,3042,105,187,70
Mazda MPV ES,Mazda,Japan,0,0,0,1,0,0,0,28750,25,26600,3,6,200,18,3812,112,188,72
Mazda MX-5 Miata,Mazda,Japan,1,0,0,0,0,0,1,22388,28,20701,1.8,4,142,23,2387,89,156,66
Mazda MX-5 Miata LS,Mazda,Japan,1,0,0,0,0,0,1,25193,28,23285,1.8,4,142,23,2387,89,156,66
Mazda Tribute DX 2.0,Mazda,Japan,0,1,0,0,0,1,0,21087,25,19742,2,4,130,22,3091,103,173,72
Mercedes-Benz C32 AMG,Mercedes-Benz,EU,0,0,0,0,0,0,1,52120,21,48522,3.2,6,349,16,3540,107,178,68
Mercedes-Benz C230 Sport,Mercedes-Benz,EU,0,0,0,0,0,0,1,26060,30,24249,1.8,4,189,22,3250,107,178,68
Mercedes-Benz C240,Mercedes-Benz,EU,0,0,1,0,0,0,1,33780,25,31466,2.6,6,168,19,3470,107,179,68
Mercedes-Benz C240 RWD,Mercedes-Benz,EU,0,0,0,0,0,0,1,32280,25,30071,2.6,6,168,20,3360,107,178,68
Mercedes-Benz C240 AWD,Mercedes-Benz,EU,0,0,0,0,0,1,0,33480,25,31187,2.6,6,168,19,3360,107,178,68
Mercedes-Benz C320,Mercedes-Benz,EU,0,0,0,0,0,0,1,37630,26,35046,3.2,6,215,20,3450,107,178,68
Mercedes-Benz C320 Sport two-door,Mercedes-Benz,EU,0,0,0,0,0,0,1,28370,26,26435,3.2,6,215,19,3430,107,178,68
Mercedes-Benz C320 Sport four-door,Mercedes-Benz,EU,0,0,0,0,0,0,1,35920,26,33456,3.2,6,215,19,3430,107,178,68
Mercedes-Benz CL500,Mercedes-Benz,EU,0,0,0,0,0,0,1,94820,24,88324,5,8,302,16,4085,114,196,73
Mercedes-Benz CL600,Mercedes-Benz,EU,0,0,0,0,0,0,1,128420,19,119600,5.5,12,493,13,4473,114,196,73
Mercedes-Benz CLK320,Mercedes-Benz,EU,0,0,0,0,0,0,1,45707,26,41966,3.2,6,215,20,3770,107,183,69
Mercedes-Benz CLK500,Mercedes-Benz,EU,0,0,0,0,0,0,1,52800,22,49104,5,8,302,17,3585,107,183,69
Mercedes-Benz E320,Mercedes-Benz,EU,0,0,1,0,0,0,1,50670,27,47174,3.2,6,221,19,3966,112,190,71
Mercedes-Benz E320 four-door,Mercedes-Benz,EU,0,0,0,0,0,0,1,48170,27,44849,3.2,6,221,19,3635,112,190,71
Mercedes-Benz E500,Mercedes-Benz,EU,0,0,1,0,0,1,0,60670,24,56474,5,8,302,16,4230,112,190,71
Mercedes-Benz E500 four-door,Mercedes-Benz,EU,0,0,0,0,0,0,1,57270,20,53382,5,8,302,16,3815,112,190,71
Mercedes-Benz G500,Mercedes-Benz,EU,0,1,0,0,0,1,0,76870,14,71540,5,8,292,13,5423,112,186,71
Mercedes-Benz ML500,Mercedes-Benz,EU,0,1,0,0,0,1,0,46470,17,43268,5,8,288,14,4874,111,183,72
Mercedes-Benz S430,Mercedes-Benz,EU,0,0,0,0,0,0,1,74320,26,69168,4.3,8,275,18,4160,122,203,73
Mercedes-Benz S500,Mercedes-Benz,EU,0,0,0,0,0,1,0,86970,24,80939,5,8,302,16,4390,122,203,73
Mercedes-Benz SL500,Mercedes-Benz,EU,1,0,0,0,0,0,1,90520,23,84325,5,8,302,16,4065,101,179,72
Mercedes-Benz SL55 AMG,Mercedes-Benz,EU,1,0,0,0,0,0,1,121770,21,113388,5.5,8,493,14,4235,101,179,72
Mercedes-Benz SL600,Mercedes-Benz,EU,1,0,0,0,0,0,1,126670,19,117854,5.5,12,493,13,4429,101,179,72
Mercedes-Benz SLK230,Mercedes-Benz,EU,1,0,0,0,0,0,1,40320,29,37548,2.3,4,192,21,3055,95,158,68
Mercedes-Benz SLK32 AMG,Mercedes-Benz,EU,1,0,0,0,0,0,1,56170,22,52289,3.2,6,349,17,3220,95,158,68
Mercury Grand Marquis GS,Mercury,US,0,0,0,0,0,0,1,24695,25,23217,4.6,8,224,17,4052,115,212,78
Mercury Grand Marquis LS Premium,Mercury,US,0,0,0,0,0,0,1,29595,25,27148,4.6,8,224,17,4052,115,212,78
Mercury Grand Marquis LS Ultimate,Mercury,US,0,0,0,0,0,0,1,30895,25,28318,4.6,8,224,17,4052,115,212,78
Mercury Marauder,Mercury,US,0,0,0,0,0,0,1,34495,23,31558,4.6,8,302,17,4195,115,212,78
Mercury Monterey Luxury,Mercury,US,0,0,0,1,0,0,0,33995,23,30846,4.2,6,201,16,4340,121,202,77
Mercury Mountaineer,Mercury,US,0,1,0,0,0,0,0,29995,21,27317,4,6,210,16,4374,114,190,72
Mercury Sable GS,Mercury,US,0,0,1,0,0,0,0,22595,26,20748,3,6,155,19,3488,109,198,73
Mercury Sable GS four-door,Mercury,US,0,0,0,0,0,0,0,21595,27,19848,3,6,155,20,3308,109,200,73
Mercury Sable LS Premium,Mercury,US,0,0,0,0,0,0,0,23895,26,21918,3,6,201,19,3315,109,200,73
Mini Cooper,Mini,EU,0,0,0,0,0,0,0,16999,37,15437,1.6,4,115,28,2524,97,143,67
Mini Cooper S,Mini,EU,0,0,0,0,0,0,0,19999,34,18137,1.6,4,163,25,2678,97,144,67
Mitsubishi Diamante LS,Mitsubishi,Japan,0,0,0,0,0,0,0,29282,25,27250,3.5,6,205,18,3549,107,194,70
Mitsubishi Eclipse GTS,Mitsubishi,Japan,1,0,0,0,0,0,0,25092,28,23456,3,6,210,21,3241,101,177,69
Mitsubishi Eclipse Spyder GT,Mitsubishi,Japan,1,0,0,0,0,0,0,26992,28,25218,3,6,210,21,3296,101,177,69
Mitsubishi Endeavor,Mitsubishi,Japan,0,1,0,0,0,1,0,30492,21,28330,3.8,6,215,17,4134,109,190,74
Mitsubishi Galant,Mitsubishi,Japan,0,0,0,0,0,0,0,25700,26,23883,3.8,6,230,18,3649,108,191,72
Mitsubishi Lancer Evolution,Mitsubishi,Japan,1,0,0,0,0,0,0,29562,26,27466,2,4,271,18,3263,103,179,70
Mitsubishi Montero,Mitsubishi,Japan,0,1,0,0,0,1,0,33112,19,30763,3.8,6,215,15,4718,110,190,75
Mitsubishi Outlander,Mitsubishi,Japan,0,1,0,0,0,0,0,18892,27,17569,2.4,4,160,21,3240,103,179,69
Nissan 350Z,Nissan,Japan,1,0,0,0,0,0,1,26910,26,25203,3.5,6,287,20,3188,104,169,72
Nissan 350Z Enthusiast,Nissan,Japan,1,0,0,0,0,0,1,34390,26,31845,3.5,6,287,20,3428,104,169,72
Nissan Altima S,Nissan,Japan,0,0,0,0,0,0,0,19240,26,18030,2.5,4,175,21,3039,110,192,70
Nissan Altima SE,Nissan,Japan,0,0,0,0,0,0,0,23290,26,21580,3.5,6,245,21,3197,110,192,70
Nissan Maxima SE,Nissan,Japan,0,0,0,0,0,0,0,27490,28,25182,3.5,6,265,20,3473,111,194,72
Nissan Maxima SL,Nissan,Japan,0,0,0,0,0,0,0,29440,28,26966,3.5,6,265,20,3476,111,194,72
Nissan Murano,Nissan,Japan,0,0,1,0,0,0,1,28739,25,27300,3.5,6,245,20,3801,111,188,74
Nissan Pathfinder SE,Nissan,Japan,0,1,0,0,0,0,0,27339,21,25972,3.5,6,240,16,3871,106,183,72
Nissan Pathfinder Armada SE,Nissan,Japan,0,1,0,0,0,0,0,33840,19,30815,5.6,8,305,13,5013,123,207,79
Nissan Quest S,Nissan,Japan,0,0,0,1,0,0,0,24780,26,22958,3.5,6,240,19,4012,124,204,78
Nissan Quest SE,Nissan,Japan,0,0,0,1,0,0,0,32780,25,30019,3.5,6,240,18,4175,124,204,78
Nissan Sentra 1.8,Nissan,Japan,0,0,0,0,0,0,0,12740,35,12205,1.8,4,126,28,2513,100,178,67
Nissan Sentra 1.8 S,Nissan,Japan,0,0,0,0,0,0,0,14740,35,13747,1.8,4,126,28,2581,100,178,67
Nissan Sentra SE-R,Nissan,Japan,0,0,0,0,0,0,0,17640,28,16444,2.5,4,165,23,2761,100,178,67
Nissan Xterra XE,Nissan,Japan,0,1,0,0,0,0,0,20939,20,19512,3.3,6,180,17,3760,104,178,70
Oldsmobile Alero GLS,Oldsmobile,US,0,0,0,0,0,0,0,23675,29,21485,3.4,6,170,20,3085,107,187,70
Oldsmobile Alero GX,Oldsmobile,US,0,0,0,0,0,0,0,18825,32,17642,2.2,4,140,24,2946,107,187,70
Oldsmobile Silhouette GL,Oldsmobile,US,0,0,0,1,0,0,0,28790,26,26120,3.4,6,185,19,3948,120,201,72
Pontiac Aztekt,Pontiac,US,0,1,0,0,0,0,0,21595,26,19810,3.4,6,185,19,3779,108,182,74
Porsche Cayenne S,Porsche,EU,0,1,0,0,0,1,0,56665,18,49865,4.5,8,340,14,4950,112,188,76
Pontiac Grand Am GT,Pontiac,US,0,0,0,0,0,0,0,22450,29,20595,3.4,6,175,20,3118,107,186,70
Pontiac Grand Prix GT1,Pontiac,US,0,0,0,0,0,0,0,22395,30,20545,3.8,6,200,20,3477,111,198,74
Pontiac Grand Prix GT2,Pontiac,US,0,0,0,0,0,0,0,24295,30,22284,3.8,6,200,20,3484,111,198,74
Pontiac Montana,Pontiac,US,0,0,0,1,0,0,0,23845,26,21644,3.4,6,185,19,3803,112,187,72
Pontiac Montana EWB,Pontiac,US,0,0,0,1,0,1,0,31370,24,28454,3.4,6,185,18,4431,121,201,72
Pontiac Sunfire 1SA,Pontiac,US,0,0,0,0,0,0,0,15495,33,14375,2.2,4,140,24,2771,104,182,68
Pontiac Sunfire 1SC,Pontiac,US,0,0,0,0,0,0,0,17735,33,16369,2.2,4,140,24,2771,104,182,68
Pontiac Vibe,Pontiac,US,0,0,1,0,0,0,1,17045,36,15973,1.8,4,130,29,2701,102,172,70
Porsche 911 Carrera,Porsche,EU,1,0,0,0,0,0,1,79165,26,69229,3.6,6,315,18,3135,93,175,70
Porsche 911 Carrera 4S,Porsche,EU,1,0,0,0,0,1,0,84165,24,72206,3.6,6,315,17,3240,93,175,72
Porsche 911 Targa,Porsche,EU,1,0,0,0,0,0,1,76765,26,67128,3.6,6,315,18,3119,93,175,70
Porsche 911 GT2,Porsche,EU,1,0,0,0,0,0,1,192465,24,173560,3.6,6,477,17,3131,93,175,72
Porsche Boxster,Porsche,EU,1,0,0,0,0,0,1,43365,29,37886,2.7,6,228,20,2811,95,170,70
Porsche Boxster S,Porsche,EU,1,0,0,0,0,0,1,52365,26,45766,3.2,6,258,18,2911,95,170,70
Saab 9-3 Arc,Saab,EU,0,0,0,0,0,0,0,40670,29,38520,2,4,210,21,3480,105,182,69
Saab 9-3 Arc Sport,Saab,EU,0,0,0,0,0,0,0,30860,28,29269,2,4,210,20,3175,105,183,69
Saab 9-3 Aero,Saab,EU,0,0,0,0,0,0,0,33360,28,31562,2,4,210,20,3175,105,183,69
Saab 9-3 Aero convertible,Saab,EU,0,0,0,0,0,0,0,43175,30,40883,2,4,210,21,3700,105,182,69
Saab 9-5 Arc,Saab,EU,0,0,0,0,0,0,0,35105,29,33011,2.3,4,220,21,3470,106,190,71
Saab 9-5 Aero,Saab,EU,0,0,1,0,0,0,0,40845,29,38376,2.3,4,250,19,3620,106,190,71
Saab 9-5 Aero four-door,Saab,EU,0,0,0,0,0,0,0,39465,29,37721,2.3,4,250,21,3470,106,190,71
Saturn Ion1,Saturn,US,0,0,0,0,0,0,0,10995,35,10319,2.2,4,140,26,2692,103,185,67
Saturn Ion2,Saturn,US,0,0,0,0,0,0,0,14300,35,13393,2.2,4,140,26,2692,103,185,67
Saturn Ion2 quad coupe,Saturn,US,0,0,0,0,0,0,0,14850,35,13904,2.2,4,140,26,2751,103,185,68
Saturn Ion3,Saturn,US,0,0,0,0,0,0,0,15825,35,14811,2.2,4,140,26,2692,103,185,67
Saturn Ion3 quad coupe,Saturn,US,0,0,0,0,0,0,0,16350,35,15299,2.2,4,140,26,2751,103,185,68
Saturn L300,Saturn,US,0,0,0,1,0,0,0,23560,34,21779,2.2,4,140,24,3109,107,190,69
Saturn L300-2,Saturn,US,0,0,0,0,0,0,0,21410,28,19801,3,6,182,20,3197,107,190,69
Saturn VUE,Saturn,US,0,1,0,0,0,1,0,20585,26,19238,2.2,4,143,21,3381,107,181,72
Scion xA,Scion,Japan,0,0,0,0,0,0,0,12965,38,12340,1.5,4,108,32,2340,93,154,67
Scion xB,Scion,Japan,0,0,1,0,0,0,0,14165,35,13480,1.5,4,108,31,2425,98,155,67
Subaru Forester,Subaru,Japan,0,0,1,0,0,1,0,21445,28,19646,2.5,4,165,21,3090,99,175,68
Subaru Impreza 2.5 RS,Subaru,Japan,0,0,0,0,0,1,0,19945,28,18399,2.5,4,165,22,2965,99,174,69
Subaru Impreza WRX,Subaru,Japan,1,0,0,0,0,1,0,25045,27,23022,2,4,227,20,3085,99,174,69
Subaru Impreza WRX STi,Subaru,Japan,1,0,0,0,0,1,0,31545,24,29130,2.5,4,300,18,3263,100,174,69
Subaru Legacy GT,Subaru,Japan,0,0,0,0,0,1,0,25645,28,23336,2.5,4,165,21,3395,104,184,69
Subaru Legacy L,Subaru,Japan,0,0,0,0,0,1,0,20445,28,18713,2.5,4,165,21,3285,104,184,69
Subaru Outback,Subaru,Japan,0,0,1,0,0,1,0,23895,28,21773,2.5,4,165,21,3430,104,187,69
Subaru Outback Limited Sedan,Subaru,Japan,0,0,0,0,0,1,0,27145,27,24687,2.5,4,165,20,3495,104,184,69
Subaru Outback H6,Subaru,Japan,0,0,0,0,0,1,0,29345,26,26660,3,6,212,19,3610,104,184,69
Subaru Outback H-6 VDC,Subaru,Japan,0,0,0,0,0,1,0,31545,26,28603,3,6,212,19,3630,104,184,69
Suzuki Aeno S,Suzuki,Japan,0,0,0,0,0,0,0,12884,31,12719,2.3,4,155,25,2676,98,171,68
Suzuki Aerio LX,Suzuki,Japan,0,0,0,0,0,0,0,14500,31,14317,2.3,4,155,25,2676,98,171,68
Suzuki Aerio SX,Suzuki,Japan,0,0,1,0,0,1,0,16497,29,16291,2.3,4,155,24,2932,98,167,68
Suzuki Forenza S,Suzuki,Japan,0,0,0,0,0,0,0,12269,31,12116,2,4,119,24,2701,102,177,68
Suzuki Forenza EX,Suzuki,Japan,0,0,0,0,0,0,0,15568,30,15378,2,4,119,22,2756,102,177,68
Suzuki Verona LX,Suzuki,Japan,0,0,0,0,0,0,0,17262,27,17053,2.5,6,155,20,3380,106,188,72
Suzuki Vitara LX,Suzuki,Japan,0,1,0,0,0,1,0,17163,22,16949,2.5,6,165,19,3020,98,163,67
Suzuki XL-7 EX,Suzuki,Japan,0,1,0,0,0,0,0,23699,22,22307,2.7,6,185,18,3682,110,187,70
Toyota 4Runner SR5 V6,Toyota,Japan,0,1,0,0,0,0,0,27710,21,24801,4,6,245,18,4035,110,189,74
Toyota Avalon XL,Toyota,Japan,0,0,0,0,0,0,0,26560,29,23693,3,6,210,21,3417,107,192,72
Toyota Avalon XLS,Toyota,Japan,0,0,0,0,0,0,0,30920,29,27271,3,6,210,21,3439,107,192,72
Toyota Camry LE,Toyota,Japan,0,0,0,0,0,0,0,19560,33,17558,2.4,4,157,24,3086,107,189,71
Toyota Camry LE V6,Toyota,Japan,0,0,0,0,0,0,0,22775,29,20325,3,6,210,21,3296,107,189,71
Toyota Camry XLE V6,Toyota,Japan,0,0,0,0,0,0,0,25920,29,23125,3,6,210,21,3362,107,189,71
Toyota Camry Solara SE,Toyota,Japan,0,0,0,0,0,0,0,19635,33,17722,2.4,4,157,24,3175,107,193,72
Toyota Camry Solara SE V6,Toyota,Japan,0,0,0,0,0,0,0,21965,29,19819,3.3,6,225,20,3417,107,193,72
Toyota Camry Solara SLE V6 two-door,Toyota,Japan,0,0,0,0,0,0,0,26510,29,23908,3.3,6,225,20,3439,107,193,72
Toyota Celica,Toyota,Japan,1,0,0,0,0,0,0,22570,33,20363,1.8,4,180,24,2500,102,171,68
Toyota Corolla CE,Toyota,Japan,0,0,0,0,0,0,0,14085,40,13065,1.8,4,130,32,2502,102,178,67
Toyota Corolla S,Toyota,Japan,0,0,0,0,0,0,0,15030,40,13650,1.8,4,130,32,2524,102,178,67
Toyota Corolla LE,Toyota,Japan,0,0,0,0,0,0,0,15295,40,13889,1.8,4,130,32,2524,102,178,67
Toyota Echo two-door manual,Toyota,Japan,0,0,0,0,0,0,0,10760,43,10144,1.5,4,108,35,2035,93,163,65
Toyota Echo two-door auto,Toyota,Japan,0,0,0,0,0,0,0,11560,39,10896,1.5,4,108,33,2085,93,163,65
Toyota Echo four-door,Toyota,Japan,0,0,0,0,0,0,0,11290,43,10642,1.5,4,108,35,2055,93,163,65
Toyota Highlander V6,Toyota,Japan,0,1,0,0,0,1,0,27930,24,24915,3.3,6,230,18,3935,107,185,72
Toyota Land Cruiser,Toyota,Japan,0,1,0,0,0,1,0,54765,17,47986,4.7,8,325,13,5390,112,193,76
Toyota Matrix,Toyota,Japan,0,0,1,0,0,0,0,16695,36,15156,1.8,4,130,29,2679,102,171,70
Toyota MR2 Spyder,Toyota,Japan,1,0,0,0,0,0,1,25130,32,22787,1.8,4,138,26,2195,97,153,67
Toyota Prius,Toyota,Japan,0,0,0,0,0,0,0,20510,51,18926,1.5,4,110,59,2890,106,175,68
Toyota RAV4,Toyota,Japan,0,1,0,0,0,1,0,20290,27,18553,2.4,4,161,22,3119,98,167,68
Toyota Sequoia SR5,Toyota,Japan,0,1,0,0,0,1,0,35695,17,31827,4.7,8,240,14,5270,118,204,78
Toyota Sienna CE,Toyota,Japan,0,0,0,1,0,0,0,23495,27,21198,3.3,6,230,19,4120,119,200,77
Toyota Sienna XLE,Toyota,Japan,0,0,0,1,0,0,0,28800,27,25690,3.3,6,230,19,4165,119,200,77
Volkswagen Golf,Volkswagen,EU,0,0,0,0,0,0,0,18715,31,17478,2,4,115,24,2897,99,165,68
Volkswagen GTI,Volkswagen,EU,0,0,0,0,0,0,0,19825,31,18109,1.8,4,180,24,2934,99,168,68
Volkswagen Jetta GL,Volkswagen,EU,0,0,1,0,0,0,0,19005,30,17427,2,4,115,24,3034,99,174,68
Volkswagen Jetta GLI,Volkswagen,EU,0,0,0,0,0,0,0,23785,30,21686,2.8,6,200,21,3179,99,172,68
Volkswagen Jetta GLS,Volkswagen,EU,0,0,0,0,0,0,0,21055,46,19638,1.9,4,100,38,3003,99,172,68
Volkswagen New Beetle GLS 1.8T,Volkswagen,EU,0,0,0,0,0,0,0,21055,31,19638,1.8,4,150,24,2820,99,161,68
Volkswagen New Beetle GLS convertible,Volkswagen,EU,0,0,0,0,0,0,0,23215,30,21689,2,4,115,24,3082,99,161,68
Volkswagen Passat GLS,Volkswagen,EU,0,0,1,0,0,0,0,24955,31,22801,1.8,4,170,22,3338,106,184,69
Volkswagen Passat GLS four-door,Volkswagen,EU,0,0,0,0,0,0,0,23955,31,21898,1.8,4,170,22,3241,106,185,69
Volkswagen Passat GLX V6 4MOTION four-door,Volkswagen,EU,0,0,0,0,0,0,0,33180,26,30583,2.8,6,190,19,3721,106,185,69
Volkswagen Passat W8,Volkswagen,EU,0,0,1,0,0,0,0,40235,25,36956,4,8,270,18,4067,106,184,69
Volkswagen Passat W8 4MOTION,Volkswagen,EU,0,0,0,0,0,0,0,39235,25,36052,4,8,270,18,3953,106,185,69
Volkswagen Touareg V6,Volkswagen,EU,0,1,0,0,0,1,0,35515,20,32243,3.2,6,220,15,5086,112,187,76
Volvo C70 LPT,Volvo,EU,0,0,0,0,0,0,0,40565,28,38203,2.4,5,197,21,3450,105,186,72
Volvo C70 HPT,Volvo,EU,0,0,0,0,0,0,0,42565,26,40083,2.3,5,242,20,3450,105,186,72
Volvo S40,Volvo,EU,0,0,0,0,0,0,0,25135,29,23701,1.9,4,170,22,2767,101,178,68
Volvo S60 2.5,Volvo,EU,0,0,0,0,0,1,0,31745,27,29916,2.5,5,208,20,3903,107,180,71
Volvo S60 T5,Volvo,EU,0,0,0,0,0,0,0,34845,28,32902,2.3,5,247,20,3766,107,180,71
Volvo S60 R,Volvo,EU,0,0,0,0,0,1,0,37560,25,35382,2.5,5,300,18,3571,107,181,71
Volvo S80 2.5T,Volvo,EU,0,0,0,0,0,1,0,37885,27,35688,2.5,5,194,20,3691,110,190,72
Volvo S80 2.9,Volvo,EU,0,0,0,0,0,0,0,37730,28,35542,2.9,6,208,20,3576,110,190,72
Volvo S80 T6,Volvo,EU,0,0,0,0,0,0,0,45210,26,42573,2.9,6,268,19,3653,110,190,72
Volvo V40,Volvo,EU,0,0,1,0,0,0,0,26135,29,24641,1.9,4,170,22,2822,101,180,68
Volvo XC70,Volvo,EU,0,0,1,0,0,1,0,35145,27,33112,2.5,5,208,20,3823,109,186,73
Volvo XC90 T6,Volvo,EU,0,1,0,0,0,1,0,41250,20,38851,2.9,6,268,15,4638,113,189,75
